factory_id,intervention_id,electricity_emission,diesel_emission,raw_material_emission,waste_emission,transport_emission,cost,savings,feasibility,co2_reduction
1,renewable_electricity,107418.2,15686.2,49217.0,9597.06,3207.92,50000,18000,0.9,31923.84
1,energy_efficiency,107418.2,15686.2,49217.0,9597.06,3207.92,25000,12000,0.95,15803.63
1,recycled_material,107418.2,15686.2,49217.0,9597.06,3207.92,15000,7000,0.8,10036.07
1,material_efficiency,107418.2,15686.2,49217.0,9597.06,3207.92,20000,9000,0.85,13154.08
1,waste_recovery,107418.2,15686.2,49217.0,9597.06,3207.92,10000,3000,0.85,2706.54
1,transport_optimization,107418.2,15686.2,49217.0,9597.06,3207.92,12000,5000,0.75,473.73
2,renewable_electricity,111992.16,21596.59,42645.13,4828.21,27145.84,50000,18000,0.9,33385.11
2,energy_efficiency,111992.16,21596.59,42645.13,4828.21,27145.84,25000,12000,0.95,20571.23
2,recycled_material,111992.16,21596.59,42645.13,4828.21,27145.84,15000,7000,0.8,7920.04
2,material_efficiency,111992.16,21596.59,42645.13,4828.21,27145.84,20000,9000,0.85,10726.39
2,waste_recovery,111992.16,21596.59,42645.13,4828.21,27145.84,10000,3000,0.85,1313.84
2,transport_optimization,111992.16,21596.59,42645.13,4828.21,27145.84,12000,5000,0.75,4763.37
3,renewable_electricity,21931.15,16272.08,13328.03,8876.28,12329.04,50000,18000,0.9,6688.33
3,energy_efficiency,21931.15,16272.08,13328.03,8876.28,12329.04,25000,12000,0.95,4417.47
3,recycled_material,21931.15,16272.08,13328.03,8876.28,12329.04,15000,7000,0.8,2619.35
3,material_efficiency,21931.15,16272.08,13328.03,8876.28,12329.04,20000,9000,0.85,3418.56
3,waste_recovery,21931.15,16272.08,13328.03,8876.28,12329.04,10000,3000,0.85,2432.15
3,transport_optimization,21931.15,16272.08,13328.03,8876.28,12329.04,12000,5000,0.75,2259.19
4,renewable_electricity,76138.02,20907.26,20770.83,6073.8,3471.13,50000,18000,0.9,23501.53
4,energy_efficiency,76138.02,20907.26,20770.83,6073.8,3471.13,25000,12000,0.95,13590.6
4,recycled_material,76138.02,20907.26,20770.83,6073.8,3471.13,15000,7000,0.8,4504.7
4,material_efficiency,76138.02,20907.26,20770.83,6073.8,3471.13,20000,9000,0.85,5320.72
4,waste_recovery,76138.02,20907.26,20770.83,6073.8,3471.13,10000,3000,0.85,1523.54
4,transport_optimization,76138.02,20907.26,20770.83,6073.8,3471.13,12000,5000,0.75,497.87
5,renewable_electricity,108151.44,8162.36,4044.18,3615.98,8066.74,50000,18000,0.9,31057.72
5,energy_efficiency,108151.44,8162.36,4044.18,3615.98,8066.74,25000,12000,0.95,19925.04
5,recycled_material,108151.44,8162.36,4044.18,3615.98,8066.74,15000,7000,0.8,844.88
5,material_efficiency,108151.44,8162.36,4044.18,3615.98,8066.74,20000,9000,0.85,808.47
5,waste_recovery,108151.44,8162.36,4044.18,3615.98,8066.74,10000,3000,0.85,1183.57
5,transport_optimization,108151.44,8162.36,4044.18,3615.98,8066.74,12000,5000,0.75,1161.03
6,renewable_electricity,23395.92,22021.63,23755.2,4815.28,8195.31,50000,18000,0.9,5771.44
6,energy_efficiency,23395.92,22021.63,23755.2,4815.28,8195.31,25000,12000,0.95,3378.69
6,recycled_material,23395.92,22021.63,23755.2,4815.28,8195.31,15000,7000,0.8,5010.75
6,material_efficiency,23395.92,22021.63,23755.2,4815.28,8195.31,20000,9000,0.85,5763.75
6,waste_recovery,23395.92,22021.63,23755.2,4815.28,8195.31,10000,3000,0.85,1618.66
6,transport_optimization,23395.92,22021.63,23755.2,4815.28,8195.31,12000,5000,0.75,1266.08
7,renewable_electricity,16467.23,27821.32,23887.57,2567.73,8185.97,50000,18000,0.9,3806.53
7,energy_efficiency,16467.23,27821.32,23887.57,2567.73,8185.97,25000,12000,0.95,3063.2
7,recycled_material,16467.23,27821.32,23887.57,2567.73,8185.97,15000,7000,0.8,4688.02
7,material_efficiency,16467.23,27821.32,23887.57,2567.73,8185.97,20000,9000,0.85,5791.89
7,waste_recovery,16467.23,27821.32,23887.57,2567.73,8185.97,10000,3000,0.85,683.25
7,transport_optimization,16467.23,27821.32,23887.57,2567.73,8185.97,12000,5000,0.75,1296.54
8,renewable_electricity,48409.68,5853.27,6840.47,7997.58,5276.34,50000,18000,0.9,12884.66
8,energy_efficiency,48409.68,5853.27,6840.47,7997.58,5276.34,25000,12000,0.95,8790.04
8,recycled_material,48409.68,5853.27,6840.47,7997.58,5276.34,15000,7000,0.8,1452.09
8,material_efficiency,48409.68,5853.27,6840.47,7997.58,5276.34,20000,9000,0.85,1866.96
8,waste_recovery,48409.68,5853.27,6840.47,7997.58,5276.34,10000,3000,0.85,2739.23
8,transport_optimization,48409.68,5853.27,6840.47,7997.58,5276.34,12000,5000,0.75,876.78
9,renewable_electricity,50919.05,7487.63,14771.67,5392.42,9638.29,50000,18000,0.9,15772.9
9,energy_efficiency,50919.05,7487.63,14771.67,5392.42,9638.29,25000,12000,0.95,7385.23
9,recycled_material,50919.05,7487.63,14771.67,5392.42,9638.29,15000,7000,0.8,2499.66
9,material_efficiency,50919.05,7487.63,14771.67,5392.42,9638.29,20000,9000,0.85,3374.72
9,waste_recovery,50919.05,7487.63,14771.67,5392.42,9638.29,10000,3000,0.85,1738.43
9,transport_optimization,50919.05,7487.63,14771.67,5392.42,9638.29,12000,5000,0.75,1288.47
10,renewable_electricity,34385.24,2277.77,30794.45,4931.41,22756.1,50000,18000,0.9,9580.18
10,energy_efficiency,34385.24,2277.77,30794.45,4931.41,22756.1,25000,12000,0.95,5720.33
10,recycled_material,34385.24,2277.77,30794.45,4931.41,22756.1,15000,7000,0.8,5405.54
10,material_efficiency,34385.24,2277.77,30794.45,4931.41,22756.1,20000,9000,0.85,6436.87
10,waste_recovery,34385.24,2277.77,30794.45,4931.41,22756.1,10000,3000,0.85,1356.09
10,transport_optimization,34385.24,2277.77,30794.45,4931.41,22756.1,12000,5000,0.75,4607.81
11,renewable_electricity,112651.86,28215.04,27705.58,4046.74,20355.87,50000,18000,0.9,31071.48
11,energy_efficiency,112651.86,28215.04,27705.58,4046.74,20355.87,25000,12000,0.95,22088.23
11,recycled_material,112651.86,28215.04,27705.58,4046.74,20355.87,15000,7000,0.8,5698.66
11,material_efficiency,112651.86,28215.04,27705.58,4046.74,20355.87,20000,9000,0.85,6613.14
11,waste_recovery,112651.86,28215.04,27705.58,4046.74,20355.87,10000,3000,0.85,1064.49
11,transport_optimization,112651.86,28215.04,27705.58,4046.74,20355.87,12000,5000,0.75,3016.02
12,renewable_electricity,34754.25,20111.47,41529.84,5175.33,3438.5,50000,18000,0.9,8989.18
12,energy_efficiency,34754.25,20111.47,41529.84,5175.33,3438.5,25000,12000,0.95,5520.4
12,recycled_material,34754.25,20111.47,41529.84,5175.33,3438.5,15000,7000,0.8,7796.45
12,material_efficiency,34754.25,20111.47,41529.84,5175.33,3438.5,20000,9000,0.85,9662.67
12,waste_recovery,34754.25,20111.47,41529.84,5175.33,3438.5,10000,3000,0.85,1765.35
12,transport_optimization,34754.25,20111.47,41529.84,5175.33,3438.5,12000,5000,0.75,591.18
13,renewable_electricity,20171.33,29262.45,21482.03,3861.15,13079.6,50000,18000,0.9,6373.23
13,energy_efficiency,20171.33,29262.45,21482.03,3861.15,13079.6,25000,12000,0.95,4025.83
13,recycled_material,20171.33,29262.45,21482.03,3861.15,13079.6,15000,7000,0.8,4424.45
13,material_efficiency,20171.33,29262.45,21482.03,3861.15,13079.6,20000,9000,0.85,4575.29
13,waste_recovery,20171.33,29262.45,21482.03,3861.15,13079.6,10000,3000,0.85,1276.04
13,transport_optimization,20171.33,29262.45,21482.03,3861.15,13079.6,12000,5000,0.75,1985.63
14,renewable_electricity,107137.44,15992.42,43352.53,343.12,3487.71,50000,18000,0.9,29218.88
14,energy_efficiency,107137.44,15992.42,43352.53,343.12,3487.71,25000,12000,0.95,17755.39
14,recycled_material,107137.44,15992.42,43352.53,343.12,3487.71,15000,7000,0.8,11064.87
14,material_efficiency,107137.44,15992.42,43352.53,343.12,3487.71,20000,9000,0.85,9561.5
14,waste_recovery,107137.44,15992.42,43352.53,343.12,3487.71,10000,3000,0.85,19.74
14,transport_optimization,107137.44,15992.42,43352.53,343.12,3487.71,12000,5000,0.75,661.71
15,renewable_electricity,33128.86,23275.65,42173.74,1391.13,2191.05,50000,18000,0.9,9150.49
15,energy_efficiency,33128.86,23275.65,42173.74,1391.13,2191.05,25000,12000,0.95,5502.0
15,recycled_material,33128.86,23275.65,42173.74,1391.13,2191.05,15000,7000,0.8,9775.02
15,material_efficiency,33128.86,23275.65,42173.74,1391.13,2191.05,20000,9000,0.85,9383.34
15,waste_recovery,33128.86,23275.65,42173.74,1391.13,2191.05,10000,3000,0.85,357.29
15,transport_optimization,33128.86,23275.65,42173.74,1391.13,2191.05,12000,5000,0.75,315.42
16,renewable_electricity,11154.05,18167.81,34401.66,4790.7,8302.04,50000,18000,0.9,3353.77
16,energy_efficiency,11154.05,18167.81,34401.66,4790.7,8302.04,25000,12000,0.95,1716.48
16,recycled_material,11154.05,18167.81,34401.66,4790.7,8302.04,15000,7000,0.8,7174.93
16,material_efficiency,11154.05,18167.81,34401.66,4790.7,8302.04,20000,9000,0.85,7655.23
16,waste_recovery,11154.05,18167.81,34401.66,4790.7,8302.04,10000,3000,0.85,1401.48
